model,term,mean,0.025quant,0.975quant
presence_N_environment_space,env_Temperature_PC1,-0.5418496090784,-1.03293603660936,-0.0485887360931311
presence_N_environment_space,env_precip_PC1,-0.408621338978502,-0.847864979477228,0.0259830414470547
presence_N_environment_space,env_TemperatureSeasonality,0.409398167360921,-0.0704950482249185,0.892682002889814
presence_N_environment_space,env_PrecipSeasonality,0.158487491692284,-0.367945700854396,0.675313633174591
presence_N_environment_space,env_topo_PC1,-0.187704955947083,-0.417357698936218,0.0415991389881274
presence_N_environment_space,env_soil_PC1,-0.181092718127731,-0.63047885252195,0.269772129792801
presence_N_environment_space,env_soil_PC2,0.120295785173168,-0.102823485559993,0.344625498513685
presence_N_environment_space,env_RSDS,0.0043502163756376,-0.208692667649366,0.21773992067813
intensity_N_environment_space,env_Temperature_PC1,-0.083741191947274,-0.274484950019426,0.105570500814138
intensity_N_environment_space,env_precip_PC1,-0.174117451265804,-0.322873927518566,-0.0244273176263438
intensity_N_environment_space,env_TemperatureSeasonality,0.207410399107441,0.0436811860943984,0.368625737065522
intensity_N_environment_space,env_PrecipSeasonality,-0.0566714636829045,-0.197063409954969,0.0887246784048045
intensity_N_environment_space,env_topo_PC1,-0.133731126333632,-0.224361910173735,-0.0428957612166448
intensity_N_environment_space,env_soil_PC1,0.062881476747052,-0.113783978554632,0.239171505055702
intensity_N_environment_space,env_soil_PC2,0.0119495962147978,-0.0810125519006738,0.103624040424594
intensity_N_environment_space,env_RSDS,0.0256618660619797,-0.0475009576145242,0.0987484404973427
intensity_N_environment_space,env_Temperature_PC1_x_TemperatureSeasonality,-0.204233616042013,-0.30186899251855,-0.106561135197511
