stage_id,order,mode,role,generating_script,validation_script,audit_script,required_inputs,produced_outputs,package_groups,system_libraries,seed,deterministic,output_class,invariant
00_inputs_phenotype,0,snapshot,frozen_upstream_input,,validation/audit_phenotype.R,,inputs/canonical_snapshot.json,results/ecological_v11_pigmentation_hurdle/,,,NA,TRUE,immutable_input,checksum locked snapshot member
00_inputs_multiscale_cells,1,snapshot,frozen_upstream_input,,validation/audit_multiscale_hotspots.R,,inputs/canonical_snapshot.json,results/ecological_v15_multiscale_hotspots/,,,NA,TRUE,immutable_input,checksum locked snapshot member
00_inputs_human_rasters,2,snapshot,frozen_upstream_input,,,,inputs/canonical_snapshot.json,results/public_rasters/,,,NA,TRUE,immutable_input,checksum locked snapshot member
00_inputs_bombus_surfaces,3,snapshot,frozen_upstream_input,,,,inputs/canonical_snapshot.json,results/enmeval_aicc_reselected/predictions/,,,NA,TRUE,immutable_input,restored rather than regenerated
01_audit_phenotype,4,verify,frozen_upstream_audit,,validation/audit_phenotype.R,validation/audit_phenotype.R,results/ecological_v11_pigmentation_hurdle/,results/ecological_v11_pigmentation_hurdle/AUDIT.md,,,NA,TRUE,validation,all audit rows PASS
02_audit_multiscale_context,5,verify,frozen_upstream_audit,,validation/audit_multiscale_hotspots.R,validation/audit_multiscale_hotspots.R,results/ecological_v15_multiscale_hotspots/,results/ecological_v15_multiscale_hotspots/AUDIT.md,,,NA,TRUE,validation,all audit rows PASS
02_run_natural_predictive_model,6,full,confirmatory_core,scripts/run_natural_predictive_model.R,validation/validate_natural_predictive_model.R,validation/audit_natural_predictive_model.R,results/ecological_v11_pigmentation_hurdle/;results/ecological_v15_multiscale_hotspots/,results/ecological_v16_predictive_replication/,natural_predictive_model,gdal;geos;proj;udunits;glpk;gomp,20260725,FALSE,intermediate_checkpoint,four components by five folds by 1000 draws
02_validate_natural_predictive_model,7,verify,confirmatory_core_validation,,validation/validate_natural_predictive_model.R,,results/ecological_v16_predictive_replication/,results/ecological_v16_predictive_replication/VALIDATION.md,natural_predictive_model,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
02_audit_natural_predictive_model,8,verify,confirmatory_core_validation,,validation/audit_natural_predictive_model.R,validation/audit_natural_predictive_model.R,results/ecological_v16_predictive_replication/,results/ecological_v16_predictive_replication/AUDIT.md,natural_predictive_model,gdal;geos;proj;udunits,NA,TRUE,validation,expected checkpoints and folds present
03_run_local_bombus_turnover,9,extensions,planned_local_mechanism,scripts/run_local_bombus_turnover.R,validation/validate_local_bombus_turnover.R,validation/audit_local_bombus_turnover.R,results/ecological_v15_multiscale_hotspots/;results/ecological_v16_predictive_replication/,results/ecological_v17_local_pair_turnover/,natural_predictive_model,gdal;geos;proj;udunits,NA,TRUE,publication_result,pre-specified 25-km rows present
03_validate_local_bombus_turnover,10,verify,planned_local_mechanism_validation,,validation/validate_local_bombus_turnover.R,,results/ecological_v17_local_pair_turnover/,results/ecological_v17_local_pair_turnover/VALIDATION.md,natural_predictive_model,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
03_audit_local_bombus_turnover,11,verify,planned_local_mechanism_validation,,validation/audit_local_bombus_turnover.R,validation/audit_local_bombus_turnover.R,results/ecological_v17_local_pair_turnover/,results/ecological_v17_local_pair_turnover/AUDIT.md,natural_predictive_model,gdal;geos;proj;udunits,NA,TRUE,validation,all audit rows PASS
04_run_human_landscape_features,12,full,feature_engineering_only,scripts/run_human_landscape_features.R,validation/validate_human_landscape_features.R,validation/audit_human_landscape_features.R,results/ecological_v15_multiscale_hotspots/;results/public_rasters/;results/ecological_v16_predictive_replication/,results/ecological_v19_human_landscape_extremes/,human_context,gdal;geos;proj;udunits,NA,FALSE,intermediate_checkpoint,features only and no candidate selection
04_validate_human_landscape_features,13,verify,feature_engineering_validation,,validation/validate_human_landscape_features.R,,results/ecological_v19_human_landscape_extremes/,results/ecological_v19_human_landscape_extremes/VALIDATION.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
04_audit_human_landscape_features,14,verify,feature_engineering_validation,,validation/audit_human_landscape_features.R,validation/audit_human_landscape_features.R,results/ecological_v19_human_landscape_extremes/,results/ecological_v19_human_landscape_extremes/AUDIT.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all audit rows PASS
04_define_local_pigmented_isolates,15,extensions,candidate_definition,scripts/run_local_pigmented_isolates.R,validation/validate_local_pigmented_isolates.R,validation/audit_local_pigmented_isolates.R,results/ecological_v15_multiscale_hotspots/;results/ecological_v19_human_landscape_extremes/;results/ecological_v16_predictive_replication/,results/ecological_v20_local_white_isolates/,human_context,gdal;geos;proj;udunits,NA,FALSE,publication_result,primary isolate count and fraction present
