package,source,scope,purpose
INLA,inla,analysis,Latent Gaussian model fitting and SPDE posterior sampling
sn,cran,analysis,Skew-normal support loaded indirectly by INLA::inla.posterior.sample
fmesher,cran,analysis,Mesh construction used by the INLA SPDE models
MatrixModels,cran,analysis,Sparse model matrices required by INLA
Matrix,cran,analysis,Sparse linear algebra in the predictive model stage
sp,cran,analysis,Legacy spatial classes required by INLA
sf,cran,analysis,Vector geometry and coordinate transforms
terra,cran,analysis,Raster input handling and point extraction
units,cran,analysis,Unit handling required by sf
mgcv,cran,analysis,Smoothers used by the phenotype stage
qgam,cran,analysis,Quantile additive models in the phenotype stage
quantreg,cran,analysis,Quantile regression in the phenotype stage
mclust,cran,analysis,Mixture classification in the phenotype stage
FNN,cran,analysis,Nearest-neighbour search for Bombus source support
foreign,cran,analysis,DBF reading for the MLIT forest-reference raster
splancs,cran,analysis,Point-pattern helpers pulled in by the INLA stack
mnormt,cran,analysis,Multivariate normal support reached through sn during INLA posterior sampling
numDeriv,cran,analysis,Numerical derivatives reached through sn during INLA posterior sampling
digest,cran,reproducibility,SHA-256 hashing for input and output manifests
jsonlite,cran,reproducibility,Manifest and provenance serialisation
yaml,cran,reproducibility,Raster pipeline configuration parsing
sessioninfo,cran,reproducibility,Structured session and package version recording
curl,cran,acquisition,HTTP transport for pinned public downloads
httr2,cran,acquisition,HTTP transport used by rgbif
rgbif,cran,acquisition,GBIF occurrence download for the Bombus stage
geodata,cran,acquisition,Reference-layer download helpers
dplyr,cran,acquisition,Occurrence-cache assembly
readr,cran,acquisition,Occurrence-cache assembly
ENMeval,cran,acquisition,Bombus species distribution model selection
maxnet,cran,acquisition,Maxent-style fitting engine used by ENMeval
usdm,cran,acquisition,Deterministic VIF predictor screening for Bombus SDMs
testthat,cran,testing,Unit test framework
