"stage","role","command","status","elapsed_seconds","stdout_log","stderr_log"
"audit_v11_phenotype","frozen_upstream_audit","scripts/audit_pigmentation_v11_results.R","PASS",0.621194839477539,"results/final_analysis_pipeline/logs/audit_v11_phenotype_stdout.log","results/final_analysis_pipeline/logs/audit_v11_phenotype_stderr.log"
"audit_v15_cell_context","frozen_upstream_audit","scripts/audit_multiscale_hotspots_v8.R","PASS",0.780493021011353,"results/final_analysis_pipeline/logs/audit_v15_cell_context_stdout.log","results/final_analysis_pipeline/logs/audit_v15_cell_context_stderr.log"
"validate_v16_checkpoints","confirmatory_core_validation","scripts/validate_predictive_replication_v9.R","PASS",1.32183623313904,"results/final_analysis_pipeline/logs/validate_v16_checkpoints_stdout.log","results/final_analysis_pipeline/logs/validate_v16_checkpoints_stderr.log"
"audit_v16_natural_replication","confirmatory_core_validation","scripts/audit_predictive_replication_v9.R","PASS",0.498623847961426,"results/final_analysis_pipeline/logs/audit_v16_natural_replication_stdout.log","results/final_analysis_pipeline/logs/audit_v16_natural_replication_stderr.log"
"validate_v17_local_bombus_pairs","planned_local_mechanism_validation","scripts/validate_local_pair_predictive_v10.R","PASS",2.67167687416077,"results/final_analysis_pipeline/logs/validate_v17_local_bombus_pairs_stdout.log","results/final_analysis_pipeline/logs/validate_v17_local_bombus_pairs_stderr.log"
"audit_v17_local_bombus_pairs","planned_local_mechanism_validation","scripts/audit_local_pair_predictive_v10.R","PASS",0.494874000549316,"results/final_analysis_pipeline/logs/audit_v17_local_bombus_pairs_stdout.log","results/final_analysis_pipeline/logs/audit_v17_local_bombus_pairs_stderr.log"
"validate_v19_feature_engineering","feature_engineering_validation","scripts/validate_human_landscape_extremes_v12.R","PASS",0.524188041687012,"results/final_analysis_pipeline/logs/validate_v19_feature_engineering_stdout.log","results/final_analysis_pipeline/logs/validate_v19_feature_engineering_stderr.log"
"audit_v19_feature_engineering","feature_engineering_validation","scripts/audit_human_landscape_extremes_v12.R","PASS",0.592034101486206,"results/final_analysis_pipeline/logs/audit_v19_feature_engineering_stdout.log","results/final_analysis_pipeline/logs/audit_v19_feature_engineering_stderr.log"
"validate_v20_local_isolates","candidate_definition_validation","scripts/validate_local_white_isolate_v13.R","PASS",2.89965510368347,"results/final_analysis_pipeline/logs/validate_v20_local_isolates_stdout.log","results/final_analysis_pipeline/logs/validate_v20_local_isolates_stderr.log"
"audit_v20_local_isolates","candidate_definition_validation","scripts/audit_local_white_isolate_v13.R","PASS",0.476024866104126,"results/final_analysis_pipeline/logs/audit_v20_local_isolates_stdout.log","results/final_analysis_pipeline/logs/audit_v20_local_isolates_stderr.log"
"validate_v21_local_human_context","exploratory_human_context_validation","scripts/validate_local_human_neighbourhood_v14.R","PASS",2.73316287994385,"results/final_analysis_pipeline/logs/validate_v21_local_human_context_stdout.log","results/final_analysis_pipeline/logs/validate_v21_local_human_context_stderr.log"
"audit_v21_local_human_context","exploratory_human_context_validation","scripts/audit_local_human_neighbourhood_v14.R","PASS",0.304606914520264,"results/final_analysis_pipeline/logs/audit_v21_local_human_context_stdout.log","results/final_analysis_pipeline/logs/audit_v21_local_human_context_stderr.log"
"validate_v22_did_sensitivity","exploratory_human_context_validation","scripts/validate_did_human_context_v15.R","PASS",4.72122287750244,"results/final_analysis_pipeline/logs/validate_v22_did_sensitivity_stdout.log","results/final_analysis_pipeline/logs/validate_v22_did_sensitivity_stderr.log"
"audit_v22_did_sensitivity","exploratory_human_context_validation","scripts/audit_did_human_context_v15.R","PASS",0.31903600692749,"results/final_analysis_pipeline/logs/audit_v22_did_sensitivity_stdout.log","results/final_analysis_pipeline/logs/audit_v22_did_sensitivity_stderr.log"
"testthat_full_suite","software_validation","tests/testthat.R","PASS",15.1671741008759,"results/final_analysis_pipeline/logs/testthat_full_suite_stdout.log","results/final_analysis_pipeline/logs/testthat_full_suite_stderr.log"
"validate_final_lock","final_lock_validation","scripts/validate_final_analysis_pipeline_v1.R --output=results/final_analysis_pipeline","PASS",0.400627136230469,"results/final_analysis_pipeline/logs/validate_final_lock_stdout.log","results/final_analysis_pipeline/logs/validate_final_lock_stderr.log"
"audit_final_claims","final_claim_audit","scripts/audit_final_analysis_pipeline_v1.R --output=results/final_analysis_pipeline","PASS",0.355968952178955,"results/final_analysis_pipeline/logs/audit_final_claims_stdout.log","results/final_analysis_pipeline/logs/audit_final_claims_stderr.log"
